algo,n,rep,hauteur,largeur,prof_feuilles,taille_gauche,time_ms
ABR,2000,34,26,398,14.8716,908,0.1070
Remy,2000,35,82,130,38.8896,1999,0.2401
ABR,2000,35,24,412,15.2999,611,0.1509
Remy,2000,36,67,156,31.0350,1993,0.4430
ABR,2000,36,28,422,15.5902,1857,0.2038
Remy,2000,37,63,162,34.4903,0,0.3500
ABR,2000,37,24,432,14.5942,111,0.1140
Remy,2000,38,65,124,35.1924,2,0.3231
ABR,2000,38,26,408,14.5742,1077,0.1202
Remy,2000,39,60,136,32.7956,1999,0.3071
ABR,2000,39,23,512,13.9980,667,0.1149
Remy,2000,40,61,162,35.5917,0,0.5338
ABR,2000,40,24,468,14.0090,884,0.0880
Remy,2000,41,65,142,31.9495,1991,0.3111
ABR,2000,41,23,498,13.9270,874,0.0870
Remy,2000,42,54,164,28.9965,1996,0.3130
ABR,2000,42,27,314,15.9350,234,0.1109
Remy,2000,43,57,174,33.5322,1999,0.2439
ABR,2000,43,25,490,14.0860,695,0.1130
Remy,2000,44,66,132,33.7516,1996,0.3002
ABR,2000,44,28,374,15.1359,123,0.1080
Remy,2000,45,68,122,35.3228,1999,0.2820
ABR,2000,45,23,516,13.5502,530,0.1111
Remy,2000,46,66,168,36.5142,1999,0.3090
ABR,2000,46,24,504,14.0120,1740,0.1149
Remy,2000,47,62,164,31.3233,0,0.2770
ABR,2000,47,23,474,14.6837,1826,0.1068
Remy,2000,48,77,180,31.0130,0,0.5310
ABR,2000,48,28,432,15.4243,723,0.0930
Remy,2000,49,70,204,34.3413,0,0.2339
ABR,2000,49,24,506,13.4953,1189,0.0851
Remy,2000,50,60,170,30.4418,3,0.3009
ABR,2000,50,26,488,13.8051,1383,0.1109
Remy,5000,1,83,316,43.4319,0,0.5500
ABR,5000,1,32,1126,16.5847,36,0.2301
Remy,5000,2,93,236,47.8922,23,0.6800
ABR,5000,2,25,1194,15.7491,346,0.2420
Remy,5000,3,87,334,41.2709,4999,0.7219
ABR,5000,3,30,988,16.3827,3276,0.2060
Remy,5000,4,95,250,50.0872,0,0.4959
ABR,5000,4,29,1140,15.6665,2976,0.2251
Remy,5000,5,76,302,38.3203,4999,1.8098
ABR,5000,5,26,1282,15.5095,3403,0.5021
Remy,5000,6,78,312,40.6805,4999,0.8059
ABR,5000,6,28,1032,15.8368,4253,0.2520
Remy,5000,7,75,306,34.6613,4944,0.7188
ABR,5000,7,28,982,16.5761,347,0.2570
Remy,5000,8,91,276,47.6259,4997,0.5271
ABR,5000,8,27,1210,15.2152,3646,0.2520
Remy,5000,9,86,252,46.9790,4999,0.7529
ABR,5000,9,25,1084,15.5159,1040,0.2098
Remy,5000,10,92,318,46.7381,4998,0.4680
ABR,5000,10,28,1014,16.9156,98,0.2499
Remy,5000,11,89,256,44.0898,4995,0.7019
ABR,5000,11,30,844,17.0560,4165,0.2410
Remy,5000,12,96,240,46.8096,3,0.7129
ABR,5000,12,26,1068,15.8012,1719,0.2539
Remy,5000,13,78,388,39.6591,0,0.7060
ABR,5000,13,26,1096,15.7558,618,0.2530
Remy,5000,14,87,288,42.8012,4999,0.7660
ABR,5000,14,26,1160,15.1716,2699,0.3400
Remy,5000,15,76,358,37.7155,4988,0.8008
ABR,5000,15,26,1032,16.2841,1067,0.1962
Remy,5000,16,78,370,41.8474,0,0.5028
ABR,5000,16,28,1122,15.8292,4333,0.2320
Remy,5000,17,76,352,46.0926,4,0.6769
ABR,5000,17,28,984,16.3103,1238,0.2401
Remy,5000,18,81,274,42.3835,5,0.7250
ABR,5000,18,31,1078,15.3677,1547,0.2530
Remy,5000,19,79,290,42.0564,0,0.7129
ABR,5000,19,26,1180,15.3809,1020,0.2470
Remy,5000,20,98,318,37.6679,3,0.5381
ABR,5000,20,26,1158,15.2947,3376,0.2911
Remy,5000,21,87,332,48.8348,1,0.7539
ABR,5000,21,29,990,16.3695,938,0.1938
Remy,5000,22,93,296,45.5581,4999,0.4821
ABR,5000,22,31,868,17.0592,4597,0.2460
Remy,5000,23,73,250,38.9696,4997,0.7191
ABR,5000,23,31,1010,15.9776,835,0.3259
Remy,5000,24,96,208,47.0218,0,1.2140
ABR,5000,24,29,986,17.8880,48,0.3572
Remy,5000,25,70,388,36.1804,4998,0.7880
ABR,5000,25,32,988,17.8840,4311,0.2570
Remy,5000,26,97,230,49.7179,0,0.6380
ABR,5000,26,26,1056,15.6725,2296,0.2990
Remy,5000,27,90,272,42.5177,0,0.7391
ABR,5000,27,30,1018,15.9172,2060,0.1960
Remy,5000,28,70,356,38.7103,4998,0.4730
ABR,5000,28,26,1092,15.7499,1668,0.2458
Remy,5000,29,93,246,42.7047,4951,0.6878
ABR,5000,29,28,1052,15.8222,836,0.2370
Remy,5000,30,89,290,40.9704,4999,0.7181
ABR,5000,30,27,1104,15.5971,3152,0.2410
Remy,5000,31,105,214,48.6239,31,0.7041
ABR,5000,31,28,1156,15.3721,1360,0.2642
Remy,5000,32,79,362,37.5169,4985,0.6120
ABR,5000,32,27,994,15.7586,1491,0.2441
Remy,5000,33,97,232,48.3795,4999,0.7300
ABR,5000,33,28,1098,15.8384,3199,0.2820
Remy,5000,34,84,306,40.9236,0,0.8759
ABR,5000,34,26,1134,15.4829,2392,0.3710
Remy,5000,35,84,288,41.1768,4973,0.7851
ABR,5000,35,28,974,16.3853,597,0.2968
Remy,5000,36,104,248,44.1106,0,0.7920
ABR,5000,36,26,994,16.0148,2273,0.2589
Remy,5000,37,74,338,37.7600,4987,0.8399
ABR,5000,37,29,1140,15.7125,903,0.2611
Remy,5000,38,71,290,39.5241,0,0.5591
ABR,5000,38,29,1056,15.8210,686,0.2470
Remy,5000,39,88,242,46.7153,4965,0.7930
ABR,5000,39,27,1026,15.9910,4462,0.2151
Remy,5000,40,113,190,59.6633,4,0.4768
ABR,5000,40,31,1016,16.5525,1351,0.3181
Remy,5000,41,83,318,40.2280,4999,0.7291
ABR,5000,41,26,1136,16.2763,4491,0.2692
Remy,5000,42,96,234,45.9754,3,0.8340
ABR,5000,42,28,1018,15.7558,3898,0.2651
Remy,5000,43,84,230,45.8224,4998,0.7989
ABR,5000,43,28,998,16.2336,3910,0.2692
Remy,5000,44,86,290,42.6923,4994,0.5770
ABR,5000,44,27,1078,15.3563,3213,0.2849
Remy,5000,45,83,276,38.9486,12,0.8700
ABR,5000,45,29,1170,15.7341,3103,0.2301
Remy,5000,46,68,344,37.6897,0,0.5291
ABR,5000,46,30,872,18.9838,4900,0.3171
Remy,5000,47,97,222,44.8276,0,0.8838
ABR,5000,47,27,1126,15.4665,1534,0.3071
Remy,5000,48,82,316,45.5185,4999,0.8042
ABR,5000,48,29,984,16.1062,3416,0.2601
Remy,5000,49,81,380,41.5655,0,0.7610
ABR,5000,49,28,1064,16.4773,4158,0.2759
Remy,5000,50,90,308,47.7317,0,0.6728
ABR,5000,50,28,1070,16.3305,4710,0.3080
